comment_ID,issue_no,is_author,ld_label,word_divergence,involve_contributor_num,other_commenter,commenter_num,comment_num,reporter_response,self_repsonse,other_response,time_from_start,time_to_close,response_time,ld_num,ld_types,LD1,LD2,LD3,LD4,LD5,LD6
13541090,2305,Y,,0.780487805,0,0,1,1,1,1,0,1,83,,0,0,0,0,0,0,0,0
13599831,2305,Y,,0.704918033,0,1,1,1,0,0,1,2,82,4056,0,0,0,0,0,0,0,0
13601939,2305,,N,0,0,0,0,0,0,0,0,2,82,,0,0,0,0,0,0,0,0
14576195,2305,Y,,0,0,0,0,0,0,0,0,22,62,,0,0,0,0,0,0,0,0
15005008,2305,Y,,0,0,0,0,0,0,0,0,31,53,,0,0,0,0,0,0,0,0
15166734,2305,Y,,0,0,0,0,0,0,0,0,35,49,,0,0,0,0,0,0,0,0
16589774,2305,,LD4,0.735849057,0,1,2,2,0,1,1,64,20,301,2,1,2,0,0,0,0,0
16590051,2305,,LD1,0.804123711,0,1,1,1,0,0,1,64,20,491,1,1,1,0,0,0,0,0
16590499,2305,,LD1,0,0,0,0,0,0,0,0,64,20,,0,0,0,0,0,0,0,0
17431084,2305,,N,0,0,0,0,0,0,0,0,80,4,,0,0,0,0,0,0,0,0
17567448,2305,,LD5,0,0,0,0,0,0,0,0,83,0,,0,0,0,0,0,0,0,0
26784519,2304,,LD2,0,0,0,0,0,0,0,0,251,0,,0,0,0,0,0,0,0,0
13476849,2303,,LD4,0.606741573,1,1,3,6,3,2,1,1,1092,52,0,0,0,0,0,0,0,0
13476858,2303,Y,,0.624,3,3,3,5,2,2,3,1,1092,926,0,0,0,0,0,0,0,0
13477193,2303,,N,0.652777778,1,1,3,4,2,1,1,1,1092,533,0,0,0,0,0,0,0,0
13477372,2303,Y,,0.744,2,2,3,3,1,1,2,1,1092,61129,0,0,0,0,0,0,0,0
13526727,2303,,N,0.765957447,1,1,2,2,1,0,1,1,1091,829,0,0,0,0,0,0,0,0
13527126,2303,,N,0.757575758,0,0,1,1,1,0,0,1,1091,19657,0,0,0,0,0,0,0,0
13534493,2303,Y,,0,0,0,0,0,0,0,0,1,1091,,0,0,0,0,0,0,0,0
181917316,2303,,N,0,0,0,0,0,0,0,0,1092,0,,0,0,0,0,0,0,0,0
24580901,2302,,N,0,0,0,0,0,0,0,0,217,2415,,0,0,0,0,0,0,0,0
